State: 3 | Token: float -> Jump to: 5
State: 5 | Token: float [Push 6 to stack] -> Jump to: 8
State: 8 | Token: float -> Jump to: 10
State: 10 | Token: float [Push 11 to stack] -> Jump to: 19
State: 19 | Token: float -> Match failed, trying next state: 20
State: 20 | Token: float -> Jump to: 22
State: 22 | Token: float -> Return to: 11
State: 11 | Token: id -> Jump to: 12
State: 12 | Token: = [Push 13 to stack] -> Jump to: 23
State: 23 | Token: = -> Jump to: 26
State: 26 | Token: = -> Jump to: 27
State: 27 | Token: const [Push 28 to stack] -> Jump to: 33
State: 33 | Token: const -> Jump to: 34
State: 34 | Token: const [Push 35 to stack] -> Jump to: 50
State: 50 | Token: const -> Jump to: 51
State: 51 | Token: const [Push 52 to stack] -> Jump to: 64
State: 64 | Token: const -> Jump to: 65
State: 65 | Token: const [Push 66 to stack] -> Jump to: 74
State: 74 | Token: const -> Match failed, trying next state: 75
State: 75 | Token: const -> Jump to: 78
State: 78 | Token: const -> Return to: 66
State: 66 | Token: ; -> Jump to: 67
State: 67 | Token: ; -> Match failed, trying next state: 68
State: 68 | Token: ; -> Jump to: 73
State: 73 | Token: ; -> Return to: 52
State: 52 | Token: ; -> Jump to: 53
State: 53 | Token: ; -> Match failed, trying next state: 54
State: 54 | Token: ; -> Jump to: 59
State: 59 | Token: ; -> Return to: 35
State: 35 | Token: ; -> Jump to: 36
State: 36 | Token: ; -> Match failed, trying next state: 37
State: 37 | Token: ; -> Jump to: 41
State: 41 | Token: ; -> Return to: 28
State: 28 | Token: ; -> Return to: 13
State: 13 | Token: ; -> Return to: 6
State: 6 | Token: float -> Jump to: 3
State: 3 | Token: float -> Jump to: 5
State: 5 | Token: float [Push 6 to stack] -> Jump to: 8
State: 8 | Token: float -> Jump to: 10
State: 10 | Token: float [Push 11 to stack] -> Jump to: 19
State: 19 | Token: float -> Match failed, trying next state: 20
State: 20 | Token: float -> Jump to: 22
State: 22 | Token: float -> Return to: 11
State: 11 | Token: = -> Error (Panic Mode)
State: 3 | Token: float -> Jump to: 5
State: 5 | Token: float [Push 6 to stack] -> Jump to: 8
State: 8 | Token: float -> Jump to: 10
State: 10 | Token: float [Push 11 to stack] -> Jump to: 19
State: 19 | Token: float -> Match failed, trying next state: 20
State: 20 | Token: float -> Jump to: 22
State: 22 | Token: float -> Return to: 11
State: 11 | Token: = -> Error (Panic Mode)
State: 3 | Token: float -> Jump to: 5
State: 5 | Token: float [Push 6 to stack] -> Jump to: 8
State: 8 | Token: float -> Jump to: 10
State: 10 | Token: float [Push 11 to stack] -> Jump to: 19
State: 19 | Token: float -> Match failed, trying next state: 20
State: 20 | Token: float -> Jump to: 22
State: 22 | Token: float -> Return to: 11
State: 11 | Token: = -> Error (Panic Mode)
State: 3 | Token: float -> Jump to: 5
State: 5 | Token: float [Push 6 to stack] -> Jump to: 8
State: 8 | Token: float -> Jump to: 10
State: 10 | Token: float [Push 11 to stack] -> Jump to: 19
State: 19 | Token: float -> Match failed, trying next state: 20
State: 20 | Token: float -> Jump to: 22
State: 22 | Token: float -> Return to: 11
State: 11 | Token: id -> Jump to: 12
State: 12 | Token: , [Push 13 to stack] -> Jump to: 23
State: 23 | Token: , -> Match failed, trying next state: 24
State: 24 | Token: , -> Match failed, trying next state: 25
State: 25 | Token: , -> Error (Panic Mode)
State: 3 | Token: float -> Jump to: 5
State: 5 | Token: float [Push 6 to stack] -> Jump to: 8
State: 8 | Token: float -> Jump to: 10
State: 10 | Token: float [Push 11 to stack] -> Jump to: 19
State: 19 | Token: float -> Match failed, trying next state: 20
State: 20 | Token: float -> Jump to: 22
State: 22 | Token: float -> Return to: 11
State: 11 | Token: const -> Error (Panic Mode)
